Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2700000,0.7085357,-0.0037101777,3251.125,0.006970217,0.01666624,0.00013933888,0.14644627,0.0023276687,-0.034374984505120665,-0.034374984505120665,1.0
2750000,0.71539366,0.0032998514,3808.8,0.006311101,0.0168063,0.00013625721,0.14541903,0.0022764103,-0.046499984432011844,-0.046499984432011844,1.0
2800000,0.71168315,0.0036077134,3232.4444444444443,0.00820151,0.020062035,0.00013378134,0.14459375,0.0022352287,-0.027222211834871106,-0.027222211834871106,1.0
2850000,0.7009078,0.0042405375,3673.875,0.0072542666,0.015449579,0.0001307013,0.14356707,0.0021839973,-0.030312486924231052,-0.030312486924231052,1.0
2900000,0.7128456,0.002034908,3924.0,0.008038154,0.019197887,0.00012761288,0.1425376,0.0021326263,-0.029583323979750276,-0.029583323979750276,1.0
2950000,0.7105126,0.005772961,3297.0,0.0073120147,0.018792639,0.00012452579,0.14150858,0.0020812778,-0.029062491317745298,-0.029062491317745298,1.0
3000000,0.7071559,0.0002487632,3384.714285714286,0.0071908752,0.018757222,0.000121445046,0.14048165,0.002030035,-0.0335714197717607,-0.0335714197717607,1.0
3050000,0.66680574,0.008051261,3262.0,0.00915568,0.016617853,0.000118363365,0.13945444,0.001978776,-0.026666658982220624,-0.026666658982220624,1.0
3100000,0.67591566,0.0056181643,3080.0,0.0075678183,0.016341876,0.00011526741,0.13842246,0.0019272799,-0.02642855959545289,-0.02642855959545289,1.0
3150000,0.65567917,0.011032334,3619.0,0.0062809945,0.018307956,0.00011279127,0.13759705,0.0018860933,-0.02349999165162444,-0.02349999165162444,1.0
3200000,0.62747794,-0.0015475815,3163.375,0.0077323304,0.014927258,0.000109706954,0.13656895,0.0018347912,-0.024062489974312484,-0.024062489974312484,1.0
3250000,0.59346396,-0.005743257,3332.4444444444443,0.008111995,0.016845979,0.000106622756,0.1355409,0.0017834911,-0.01833332459338837,-0.01833332459338837,1.0
3300000,0.5668838,-0.009888848,3258.5714285714284,0.008685996,0.013826163,0.00010354455,0.13451482,0.0017322898,-0.014285710972866841,-0.014285710972866841,1.0
3350000,0.57039404,-0.0107378205,3893.5,0.0062077083,0.016460495,0.00010045838,0.1334861,0.0016809561,-0.02458332502283156,-0.02458332502283156,1.0
3400000,0.5249387,-0.015660573,3372.714285714286,0.0064733387,0.017251132,9.736972e-05,0.13245654,0.0016295816,-0.027142843697220087,-0.027142843697220087,1.0
3450000,0.52639663,-0.010287635,3665.625,0.007507799,0.015510341,9.427435e-05,0.13142475,0.0015780953,-0.03187499236082658,-0.03187499236082658,1.0
3500000,0.5240637,-0.004177741,2939.5714285714284,0.008443766,0.016036067,9.1803064e-05,0.13060099,0.0015369896,-0.014642851161105292,-0.014642851161105292,1.0
3550000,0.5466025,-0.004941098,3352.6666666666665,0.00738066,0.017276205,8.871043e-05,0.12957011,0.0014855488,-0.011388883977714512,-0.011388883977714512,1.0
3600000,0.5157867,-0.009352165,4322.4,0.006058528,0.013692759,8.562393e-05,0.12854129,0.0014342096,-0.019499991647899152,-0.019499991647899152,1.0
3650000,0.4748795,-0.01655971,3758.4285714285716,0.0065178685,0.019166047,8.253349e-05,0.12751113,0.0013828055,-0.013928567791091544,-0.013928567791091544,1.0
3700000,0.48163563,-0.008411838,3136.222222222222,0.008862706,0.01816437,7.944043e-05,0.12648015,0.0013313582,-0.006388885900378227,-0.006388885900378227,1.0
3750000,0.42844447,0.00044272142,2703.5714285714284,0.008563108,0.014994175,7.6357835e-05,0.12545256,0.0012800839,-0.007499995840979474,-0.007499995840979474,1.0
3800000,0.41832927,0.01726944,3942.625,0.0073568067,0.017289251,7.326614e-05,0.124422014,0.001228659,-0.021874993457458913,-0.021874993457458913,1.0
3850000,0.4512178,0.014275465,2580.375,0.008891796,0.014173206,7.079643e-05,0.12359877,0.001187579,-0.009374996938277036,-0.009374996938277036,1.0
3900000,0.47308728,0.016079497,3110.714285714286,0.006257528,0.017567342,6.771249e-05,0.12257079,0.0011362829,-0.018571420572698116,-0.018571420572698116,1.0
3950000,0.48793104,0.021498784,3324.125,0.0075244247,0.020118872,6.462801e-05,0.12154263,0.0010849776,-0.01374999393010512,-0.01374999393010512,1.0
4000000,0.4538012,0.006753689,3407.375,0.008183188,0.019195607,6.155173e-05,0.12051722,0.0010338089,-0.017187493795063347,-0.017187493795063347,1.0
4050000,0.47588116,-0.0007885314,3551.4285714285716,0.007457057,0.017527206,5.8475962e-05,0.119491965,0.0009826487,-0.024285707689289535,-0.024285707689289535,1.0
4100000,0.51068413,-0.006339839,3171.1111111111113,0.008749889,0.017336613,5.5394485e-05,0.118464805,0.0009313934,-0.01749999262392521,-0.01749999262392521,1.0
4150000,0.51081777,0.0037115235,3542.6,0.006155845,0.018124778,5.2307965e-05,0.11743598,0.0008800545,-0.011999995540827512,-0.011999995540827512,1.0
4200000,0.46635827,0.0066215806,3413.8,0.0059657684,0.018289853,4.9834773e-05,0.11661157,0.00083891704,-0.01299999412149191,-0.01299999412149191,1.0
4250000,0.47797182,-0.002831348,2942.0,0.0084709525,0.015828742,4.6751407e-05,0.115583785,0.0007876304,-0.009999997448176146,-0.009999997448176146,1.0
4300000,0.44978973,-0.00074772,3606.1428571428573,0.0064514494,0.018210702,4.3668086e-05,0.114555985,0.00073634426,-0.012857136582689626,-0.012857136582689626,1.0
4350000,0.43071222,-0.0034030864,2725.285714285714,0.006779157,0.0140868435,4.05864e-05,0.113528766,0.00068508583,-0.009642853933785642,-0.009642853933785642,1.0
4400000,0.45165107,-0.011247967,4151.666666666667,0.0070862556,0.02065986,3.749103e-05,0.11249697,0.00063359947,-0.01708332635462284,-0.01708332635462284,1.0
4450000,0.45748582,-0.008430144,3426.777777777778,0.007983937,0.017862646,3.4402852e-05,0.11146758,0.0005822326,-0.011666661490582757,-0.011666661490582757,1.0
4500000,0.44668636,-0.003892156,3559.5,0.006660128,0.015974497,3.131396e-05,0.110437945,0.0005308541,-0.015624994703102857,-0.015624994703102857,1.0
4550000,0.46821457,-0.006392734,3529.0,0.0065634185,0.015639752,2.8841794e-05,0.109613895,0.00048973365,-0.020499995909631252,-0.020499995909631252,1.0
4600000,0.49260962,-0.0011370758,3072.3,0.0075269123,0.014711142,2.5755893e-05,0.10858527,0.00043840474,-0.02824999038130045,-0.02824999038130045,1.0
4650000,0.4781409,0.0011170959,3278.25,0.007546667,0.0148803415,2.2666783e-05,0.10755555,0.0003870225,-0.02249998989282176,-0.02249998989282176,1.0
4700000,0.4879435,-0.0026364129,2799.0,0.008124824,0.017902313,1.9569976e-05,0.10652328,0.00033551225,-0.030714270592268025,-0.030714270592268025,1.0
4750000,0.4952832,0.0022347418,3064.090909090909,0.007618661,0.014931116,1.6484253e-05,0.10549472,0.00028418648,-0.024545447435230017,-0.024545447435230017,1.0
4800000,0.4982346,-0.0009700047,3037.1428571428573,0.0078038336,0.017240746,1.3399697e-05,0.10446655,0.00023288006,-0.013928565130169903,-0.013928565130169903,1.0
4850000,0.51457274,0.005061978,4357.166666666667,0.005910855,0.013813994,1.0306361e-05,0.10343541,0.00018142749,-0.029583323824529845,-0.029583323824529845,1.0
4900000,0.54286504,-0.00074421836,2641.5555555555557,0.009817814,0.01583186,7.834956e-06,0.10261163,0.00014031981,-0.035277764985544816,-0.035277764985544816,1.0
4950000,0.54680413,-0.0013514615,3358.5714285714284,0.007567557,0.015302553,4.7386975e-06,0.101579525,8.88187e-05,-0.023928561713546515,-0.023928561713546515,1.0
5000000,0.53770345,0.0021293156,2810.3333333333335,0.0059356634,0.019348297,1.6519022e-06,0.10055061,3.747498e-05,-0.015833328012377024,-0.015833328012377024,1.0
