Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
50000,1.5977952,-0.19656423,3116.0,1198.8371694645175,-9.31041532754898,-9.31041532754898,0.009396313,0.016691204,0.0002981471,0.19938233,0.0049691796,1.0
100000,1.5277556,-0.19983466,3637.75,1196.289740632161,-8.721249057600895,-8.721249057600895,0.007611337,0.014972877,0.00029568674,0.19856223,0.0049282564,1.0
150000,1.3743032,-0.18022224,4341.384615384615,1196.9887838751856,-5.402307136127582,-5.402307136127582,0.006332807,0.018570986,0.00029260817,0.1975361,0.0048770495,1.0
200000,1.2663759,-0.12054708,3887.0714285714284,1197.3849122171746,-3.8957139902881215,-3.8957139902881215,0.0067626433,0.015949704,0.00028952397,0.19650799,0.0048257485,1.0
250000,1.0790733,-0.11656045,3622.230769230769,1196.6504566015658,-2.8099997881799936,-2.8099997881799936,0.007775426,0.017547019,0.00028644496,0.19548164,0.004774533,1.0
300000,1.0409739,-0.11337755,2315.222222222222,1194.6771162805614,-1.6824998975627952,-1.6824998975627952,0.0074510034,0.0141721815,0.00028336438,0.19445482,0.0047232937,1.0
350000,0.9850692,-0.06932197,3456.769230769231,1194.7697973888878,-0.6269229488590589,-0.6269229488590589,0.008066367,0.015805682,0.00028028383,0.19342792,0.004672054,1.0
400000,0.941395,-0.068838924,4137.916666666667,1194.3458952664455,-1.9354165353967498,-1.9354165353967498,0.0064789057,0.016287629,0.0002772042,0.19240141,0.0046208305,1.0
450000,0.88662416,-0.071063906,2990.6111111111113,1195.7949640763977,-0.47972213404460085,-0.47972213404460085,0.009011913,0.019234315,0.00027473958,0.19157985,0.0045798346,1.0
500000,0.8634978,-0.101512566,3082.3529411764707,1195.595572469531,-0.9149999077815343,-0.9149999077815343,0.008357086,0.018892042,0.00027166217,0.19055407,0.004528647,1.0
550000,0.85290676,-0.08323259,2921.4615384615386,1196.5643288012673,-1.440384524802749,-1.440384524802749,0.0070278444,0.016290573,0.0002685832,0.18952772,0.004477433,1.0
600000,0.8287729,-0.06445045,3389.5,1195.103914025738,-0.7956249252310954,-0.7956249252310954,0.007885414,0.015630014,0.0002655066,0.18850215,0.004426258,1.0
650000,0.8228316,-0.05112154,2824.529411764706,1193.6750454139221,-1.394117576563183,-1.394117576563183,0.009159753,0.01325894,0.00026242313,0.18747434,0.0043749707,1.0
700000,0.8005856,-0.066859454,3259.0,1192.1454992713343,0.3433333981782198,0.3433333981782198,0.007561462,0.017859912,0.00025934217,0.18644738,0.0043237247,1.0
750000,0.80227137,-0.016104009,2895.277777777778,1193.7371949971025,0.06805560065226422,0.06805560065226422,0.00823571,0.017795555,0.0002562576,0.18541917,0.0042724176,1.0
800000,0.7936251,-0.007119344,2764.076923076923,1193.939770628754,-0.23730763979256153,-0.23730763979256153,0.0074415486,0.013857124,0.0002537673,0.18458909,0.0042309957,1.0
850000,0.77633464,8.9227855e-05,3377.0625,1195.2301202661715,-0.18593742448138073,-0.18593742448138073,0.00778122,0.016850524,0.0002506835,0.18356116,0.004179701,1.0
900000,0.7486797,-0.026469404,4031.0833333333335,1194.9733937752746,-0.6670832590510448,-0.6670832590510448,0.0067502805,0.019191183,0.0002476006,0.18253353,0.0041284226,1.0
950000,0.7058495,0.012825094,3701.4615384615386,1195.174670517337,-0.437692255498125,-0.437692255498125,0.007439098,0.01717663,0.00024451988,0.18150662,0.00407718,1.0
1000000,0.7128325,0.006319542,3236.235294117647,1194.9637835583437,-0.41468747629551217,-0.41468747629551217,0.008118438,0.01778947,0.00024144416,0.1804814,0.004026021,1.0
1050000,0.7376265,0.001176035,3456.2,1196.0232217114276,1.837272778238085,1.837272778238085,0.0072078877,0.018293489,0.00023832668,0.17944221,0.0039741662,1.0
1100000,0.73369396,0.011320271,3376.4117647058824,1196.3988805875206,0.4100000373471309,0.4100000373471309,0.007984823,0.013957219,0.00023524543,0.17841512,0.0039229156,1.0
1150000,0.73473245,-0.019183844,2614.777777777778,1195.5648604142739,-0.09749997412371966,-0.09749997412371966,0.007973518,0.018898038,0.00023277766,0.17759252,0.0038818666,1.0
1200000,0.7470656,-0.022260057,3372.875,1193.688576501172,-0.3749999624560587,-0.3749999624560587,0.008186103,0.017692504,0.00022969791,0.17656596,0.0038306403,1.0
1250000,0.7580832,0.0011295888,3217.076923076923,1193.764194202488,-0.049230726005939335,-0.049230726005939335,0.008624419,0.016040005,0.00022661845,0.17553946,0.0037794188,1.0
1300000,0.7474362,0.005260492,2478.785714285714,1193.2793328500757,-0.6885714121162891,-0.6885714121162891,0.0070471135,0.016470484,0.00022353628,0.17451209,0.003728153,1.0
1350000,0.7387519,0.006265872,3678.1875,1193.351768336323,0.08406252512941137,0.08406252512941137,0.0072497935,0.015700128,0.00022045175,0.1734839,0.0036768466,1.0
1400000,0.735404,0.0109823635,2595.3333333333335,1191.8202660875027,-0.7319444197540482,-0.7319444197540482,0.008750335,0.018837726,0.00021736186,0.17245395,0.0036254518,1.0
1450000,0.72785825,-0.02751455,3451.4615384615386,1190.8005894891064,-0.158846122212708,-0.158846122212708,0.007251666,0.018370152,0.00021427443,0.1714248,0.0035740973,1.0
1500000,0.7141562,-0.012452346,3357.375,1189.2946436034913,0.08125000598374754,0.08125000598374754,0.007940426,0.01571725,0.00021181091,0.17060365,0.003533121,1.0
1550000,0.6966214,0.043129485,2943.1428571428573,1188.858083611367,0.5571428738268358,0.5571428738268358,0.007647214,0.017845333,0.00020871851,0.16957283,0.0034816836,1.0
1600000,0.66703695,0.039734848,2854.315789473684,1189.191155224207,0.6736842216923833,0.6736842216923833,0.0076773893,0.016685493,0.0002056283,0.16854273,0.0034302827,1.0
1650000,0.63522583,0.012360832,3255.9166666666665,1187.8326986608542,-0.7179166419276347,-0.7179166419276347,0.0071478393,0.017478097,0.00020254999,0.16751663,0.0033790804,1.0
1700000,0.58830476,-0.031951368,3494.4444444444443,1185.7039140736774,-0.5052777538593445,-0.5052777538593445,0.008497231,0.016762558,0.0001994679,0.1664893,0.0033278149,1.0
1750000,0.57849604,0.0089641,3124.0,1184.5564869476354,-0.22214283820773875,-0.22214283820773875,0.006723829,0.017058726,0.00019638932,0.16546309,0.0032766077,1.0
1800000,0.60557854,-0.018562721,2609.875,1183.6343033018566,-0.8971874946728349,-0.8971874946728349,0.0073712217,0.017164024,0.00019330787,0.16443592,0.0032253533,1.0
1850000,0.6149532,-0.003796757,3552.846153846154,1182.0823430285975,0.8061538537104542,0.8061538537104542,0.007499735,0.013234809,0.00019084182,0.16361393,0.003184334,1.0
1900000,0.620801,-0.028498534,3760.133333333333,1181.4412669183757,-0.5036666544154287,-0.5036666544154287,0.0067311022,0.01662664,0.00018776297,0.16258763,0.003133123,1.0
1950000,0.5750274,0.037632026,2982.214285714286,1183.4563356092556,1.2614285627246968,1.2614285627246968,0.007931263,0.015697593,0.00018468293,0.16156092,0.0030818917,1.0
2000000,0.60308933,-0.041599818,3701.4285714285716,1182.8711351966433,-0.9371428473719529,-0.9371428473719529,0.0069253542,0.015412659,0.00018160185,0.16053392,0.0030306429,1.0
2050000,0.607054,0.00525895,2595.5,1181.3115899948018,0.3578571449033916,0.3578571449033916,0.006639066,0.016585633,0.00017851865,0.15950617,0.0029793587,1.0
2100000,0.61924034,-0.018341659,3885.3636363636365,1181.1410050962972,-0.7786363519897516,-0.7786363519897516,0.006516639,0.019469911,0.00017543237,0.15847744,0.0029280232,1.0
2150000,0.57358205,-0.012216993,3683.375,1181.020052036266,-0.630625000980217,-0.630625000980217,0.0071080886,0.015429575,0.00017235179,0.15745056,0.002876784,1.0
2200000,0.5647382,0.021538567,3336.5,1180.8007159285453,-0.30562499433290213,-0.30562499433290213,0.0075969417,0.01670788,0.00016927283,0.15642424,0.00282557,1.0
2250000,0.60760957,0.011894827,2982.3125,1180.7710144020004,0.2809375110664405,0.2809375110664405,0.007852202,0.014476294,0.00016619284,0.1553976,0.0027743396,1.0
2300000,0.5941437,0.014396936,2647.4,1180.6840556020577,-0.5799999986464779,-0.5799999986464779,0.0073515205,0.017921526,0.00016371917,0.15457305,0.0027331943,1.0
2350000,0.56012785,0.025399595,3258.9333333333334,1181.1920018516387,0.7813333387797078,0.7813333387797078,0.0074583185,0.017529808,0.00016063887,0.15354627,0.0026819594,1.0
2400000,0.5286875,0.04120714,3545.6666666666665,1182.8150203351145,1.4886666716386874,1.4886666716386874,0.0071750507,0.01690176,0.0001575594,0.15251976,0.0026307367,1.0
2450000,0.5094789,0.035677847,3290.133333333333,1183.3621529403747,-0.007666662832101186,-0.007666662832101186,0.007442852,0.016713867,0.00015448075,0.15149355,0.0025795288,1.0
2500000,0.48331365,0.059650112,3815.75,1184.2002195277616,0.5566666671074927,0.5566666671074927,0.006987717,0.018592525,0.00015140284,0.1504676,0.0025283326,1.0
2550000,0.4347496,0.03564358,1811.0833333333333,1183.774802006812,-0.28791666923401255,-0.28791666923401255,0.0062848595,0.016903829,0.00014832,0.14943998,0.002477055,1.0
2600000,0.38664058,0.05075915,4312.4375,1183.6036148965727,0.8196875007706694,0.8196875007706694,0.0076586246,0.015894182,0.00014523938,0.1484131,0.0024258136,1.0
2650000,0.35411453,0.021867048,3451.5384615384614,1185.9340175516952,-0.07807693888361637,-0.07807693888361637,0.0065925457,0.01626918,0.00014277379,0.1475912,0.0023848028,1.0
2700000,0.32413784,0.019314801,3173.0625,1186.40170276649,0.515937501040753,0.515937501040753,0.0071277986,0.017297506,0.00013969744,0.1465658,0.002333633,1.0
2750000,0.34127387,0.015577605,3342.9285714285716,1187.1563006421497,0.15392857271113566,0.15392857271113566,0.007562408,0.017399013,0.00013661772,0.14553922,0.0022824071,1.0
2800000,0.32072008,0.00787865,3019.5,1188.4480114729954,0.5228124978020787,0.5228124978020787,0.0069353916,0.016837189,0.00013351243,0.14450411,0.0022307558,1.0
2850000,0.33007136,0.03213111,3833.6923076923076,1188.7239923088675,-0.057083330660437546,-0.057083330660437546,0.0059935125,0.01806466,0.00013042353,0.1434745,0.0021793777,1.0
2900000,0.34808075,0.028315285,3459.0,1189.6727721737218,0.9625000033411197,0.9625000033411197,0.006698813,0.016262257,0.00012733911,0.14244635,0.002128073,1.0
2950000,0.32555997,0.0023276967,3012.705882352941,1191.814494020972,-0.4332352959934403,-0.4332352959934403,0.007826157,0.018772237,0.00012425671,0.14141887,0.0020768023,1.0
3000000,0.33788243,0.019142075,3646.25,1192.54050932018,-0.17666665464639664,-0.17666665464639664,0.006012559,0.017448895,0.00012179104,0.14059699,0.0020357897,1.0
3050000,0.33556136,0.013366986,2571.3076923076924,1193.8298570474153,0.7750000163482932,0.7750000163482932,0.0054156906,0.01709608,0.000118706324,0.13956875,0.001984481,1.0
3100000,0.3162277,0.009756831,4236.153846153846,1193.0769031779137,-1.1292307711421297,-1.1292307711421297,0.0058990074,0.015849084,0.00011562427,0.13854142,0.0019332157,1.0
3150000,0.29755813,0.0029742715,3150.0625,1191.0398049143655,-0.9231250014272518,-0.9231250014272518,0.006908542,0.016659891,0.000112546084,0.13751532,0.0018820153,1.0
3200000,0.26683328,-0.009455415,3011.823529411765,1190.4514049958907,-0.41970588880426746,-0.41970588880426746,0.008063562,0.013962118,0.000109463,0.13648763,0.0018307334,1.0
3250000,0.22522824,-0.009055526,3147.875,1189.0986745402593,-0.5109374971943907,-0.5109374971943907,0.007503933,0.017235838,0.000106377214,0.13545905,0.001779406,1.0
3300000,0.22540362,0.010905692,2801.285714285714,1188.8374245913997,0.24500000270615732,0.24500000270615732,0.005546094,0.016849315,0.000103297454,0.13443246,0.00172818,1.0
3350000,0.21011648,-0.013615988,3290.0,1189.0853551062507,0.19615385136925256,0.19615385136925256,0.008012446,0.014481391,0.00010083149,0.13361046,0.0016871622,1.0
3400000,0.2119578,0.008344576,3281.4117647058824,1189.873997038682,-0.004411757485393216,-0.004411757485393216,0.00743561,0.018104743,9.774416e-05,0.13258134,0.0016358094,1.0
3450000,0.18132174,0.059661437,2966.4736842105262,1190.8696215179618,2.015263174660504,2.015263174660504,0.007335088,0.017198551,9.465811e-05,0.13155267,0.0015844784,1.0
3500000,0.18016231,0.022632016,2881.2,1193.1978708444683,0.8690000012516975,0.8690000012516975,0.007990866,0.018913358,9.1573726e-05,0.13052453,0.0015331745,1.0
3550000,0.1915518,0.035210796,2152.9333333333334,1194.6461157261458,0.560666669656833,0.560666669656833,0.007588352,0.015499031,8.849018e-05,0.1294967,0.0014818851,1.0
3600000,0.18122756,0.007047713,3677.0625,1193.4369007050896,-0.864687493769452,-0.864687493769452,0.0073077395,0.018572487,8.540997e-05,0.12846996,0.0014306513,1.0
3650000,0.19934267,-0.00544609,3868.5,1192.192242235962,-0.4279166713822633,-0.4279166713822633,0.0060494086,0.019511845,8.232474e-05,0.12744156,0.001379333,1.0
3700000,0.18410121,0.012785498,3092.1176470588234,1192.1050467090085,-0.37235293499029737,-0.37235293499029737,0.007858107,0.01724323,7.9245096e-05,0.126415,0.0013281088,1.0
3750000,0.17971994,0.04249568,3192.6875,1193.2418995952032,1.8509375076391734,1.8509375076391734,0.006742449,0.014071029,7.6162854e-05,0.12538758,0.0012768409,1.0
3800000,0.1978484,0.0025871159,2446.3333333333335,1195.3339551245292,0.35366667627046505,0.35366667627046505,0.0073359665,0.017521646,7.36986e-05,0.12456618,0.0012358518,1.0
3850000,0.16924137,-0.025765665,3735.9285714285716,1194.6759244212046,-1.6628571569121309,-1.6628571569121309,0.007112235,0.015246041,7.061531e-05,0.12353841,0.0011845664,1.0
3900000,0.1591741,0.0015482047,2654.85,1194.593856939657,0.7279999966733157,0.7279999966733157,0.009200806,0.018340811,6.753423e-05,0.12251139,0.0011333178,1.0
3950000,0.1664194,-0.029648105,3057.9333333333334,1194.335004520965,-1.0736666852608323,-1.0736666852608323,0.007780377,0.01569697,6.445753e-05,0.12148583,0.001082142,1.0
4000000,0.16626418,-0.015023578,2830.25,1193.5309409433582,-0.7115624980069697,-0.7115624980069697,0.009624889,0.017179593,6.13754e-05,0.120458454,0.0010308762,1.0
4050000,0.15545851,-0.03267987,2287.823529411765,1193.6166048963105,0.10088235594551354,0.10088235594551354,0.007382344,0.016856559,5.8284804e-05,0.11942824,0.000979469,1.0
4100000,0.13590875,0.017311003,3227.0,1193.6428860840228,0.5344736803519098,0.5344736803519098,0.008809534,0.015257014,5.5208875e-05,0.11840291,0.0009283062,1.0
4150000,0.12517385,0.017650057,2936.294117647059,1194.1884396217085,0.2826470655443914,0.2826470655443914,0.0076848944,0.016995156,5.2747222e-05,0.117582396,0.0008873609,1.0
4200000,0.12334736,0.0033994615,3309.230769230769,1194.9999651038092,-0.31846153191648996,-0.31846153191648996,0.007314332,0.016547762,4.9664905e-05,0.11655494,0.0008360914,1.0
4250000,0.12922707,0.02644516,3450.1428571428573,1194.6195306557433,0.4925000068864652,0.4925000068864652,0.0073778527,0.01651326,4.658186e-05,0.11552726,0.0007848102,1.0
4300000,0.12748288,0.017143708,2058.125,1195.4800918608505,0.003437503764871508,0.003437503764871508,0.0073004724,0.017412586,4.3495103e-05,0.11449835,0.00073346705,1.0
4350000,0.123620234,-0.014113457,3820.2,1196.3471828977183,-0.04666667201866706,-0.04666667201866706,0.0070211543,0.014635602,4.0417137e-05,0.11347235,0.00068227027,1.0
4400000,0.11395729,0.009382386,2722.0555555555557,1197.5379484591062,1.1983333417835336,1.1983333417835336,0.008003839,0.017762078,3.7334612e-05,0.11244484,0.00063099765,1.0
