Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
5050000,0.060639508,0.06987789,0.0058508404,0.01667566,0.0001490661,0.14968866,0.002489465,5139.75,1200.498743364201,3.821250184904784,3.821250184904784,1.0
5100000,0.06611788,0.0886616,0.0022143777,0.01949875,0.00014782636,0.14927542,0.0024688449,8865.2,1201.0933972642572,5.840000401437282,5.840000401437282,1.0
5150000,0.07574637,0.08429878,0.0031523407,0.016391745,0.00014628614,0.14876203,0.0024432251,6502.444444444444,1202.0953590580712,4.357222472731438,4.357222472731438,1.0
5200000,0.06423873,0.07242771,0.0027386802,0.016780682,0.00014474464,0.1482482,0.0024175853,8335.6,1202.5629731286585,6.046000255830586,6.046000255830586,1.0
5250000,0.058861557,0.062522516,0.0031376097,0.016734703,0.0001432062,0.14773537,0.0023919952,7192.75,1201.8280172809991,3.988750296528451,3.988750296528451,1.0
5300000,0.07327436,0.030308114,0.0034257006,0.019189026,0.0001416638,0.14722124,0.0023663403,2870.875,1201.5121337355065,1.1206251359544694,1.1206251359544694,1.0
5350000,0.06644003,0.042989798,0.0020694353,0.018652683,0.0001401234,0.14670776,0.002340718,9502.6,1200.4577659262293,5.269000377133489,5.269000377133489,1.0
5400000,0.07058943,0.04289226,0.0018010284,0.015903693,0.00013858169,0.14619386,0.0023150742,13619.5,1199.9651816876312,7.343750670785084,7.343750670785084,1.0
5450000,0.06412031,0.04397594,0.003097266,0.02114195,0.00013734703,0.14578232,0.0022945378,9006.0,1199.7752663205774,5.7650003679096695,5.7650003679096695,1.0
5500000,0.06855177,0.04367537,0.0027319666,0.020017799,0.00013580553,0.14526847,0.0022688976,8546.166666666666,1199.1488563551839,4.385000436877211,4.385000436877211,1.0
5550000,0.06994702,0.06695834,0.0020989738,0.01783727,0.00013424631,0.14474878,0.0022429624,5196.0,1198.982658469606,2.488750256365165,2.488750256365165,1.0
5600000,0.07609925,0.03564314,0.0022527853,0.016150393,0.0001327046,0.14423484,0.0022173186,12657.75,1198.3599863062411,6.898750624386594,6.898750624386594,1.0
5650000,0.06940163,0.06502715,0.0036789987,0.014591007,0.00013116482,0.14372158,0.002191707,5672.4,1198.0912283721248,3.1820002348162233,3.1820002348162233,1.0
5700000,0.07039918,0.06890857,0.0026141675,0.016095996,0.00012962485,0.14320825,0.0021660922,7593.333333333333,1197.49336662002,3.505000311881304,3.505000311881304,1.0
5750000,0.07401698,0.039660107,0.0019199766,0.016682684,0.00012808159,0.14269385,0.0021404228,13654.333333333334,1197.49336662002,7.708333945833147,7.708333945833147,1.0
5800000,0.08816934,0.070768096,0.0035231882,0.018601805,0.00012683996,0.14227995,0.0021197703,2463.6666666666665,1197.3257439953015,0.3925001899090906,0.3925001899090906,1.0
5850000,0.073322825,0.07055511,0.0022694727,0.016182575,0.00012529771,0.14176588,0.002094117,8499.25,1197.6181954879787,5.443750401958823,5.443750401958823,1.0
5900000,0.07794984,0.082514785,0.002633139,0.0149331065,0.00012375561,0.14125183,0.0020684674,12878.4,1196.8943836575538,8.265000529401004,8.265000529401004,1.0
5950000,0.078182764,0.080919616,0.0032105607,0.015647803,0.0001222169,0.14073893,0.002042873,5717.2,1195.8011252962458,2.4825002111494543,2.4825002111494543,1.0
6000000,0.056894977,0.062742874,0.0023261772,0.015038973,0.00012067659,0.1402255,0.0020172526,7595.0,1195.1432267313508,4.600000288337469,4.600000288337469,1.0
6050000,0.06969836,0.042882886,0.0020559584,0.016425062,0.00011942408,0.13980801,0.0019964196,5470.2,1195.2266366322974,2.3340002577751875,2.3340002577751875,1.0
6100000,0.058880456,0.05541273,0.0026944226,0.0150509775,0.00011787813,0.13929267,0.0019707053,7828.5,1194.0310417559351,3.597500351878504,3.597500351878504,1.0
6150000,0.057000138,0.072129376,0.0027866343,0.01797913,0.000116337724,0.13877922,0.0019450828,9277.75,1193.4089877741544,5.371250381460413,5.371250381460413,1.0
6200000,0.054618582,0.06829026,0.0027061088,0.016800819,0.00011480044,0.13826679,0.0019195128,9906.142857142857,1193.1787519147852,5.971428992359766,5.971428992359766,1.0
6250000,0.05415724,0.04352601,0.003314056,0.021026008,0.0001132619,0.13775393,0.0018939214,6815.75,1193.4114297084072,3.906250295229256,3.906250295229256,1.0
6300000,0.0565027,0.06608246,0.0024402272,0.016567146,0.000111708185,0.13723603,0.001868078,2300.3333333333335,1193.119158723467,1.1383334387404223,1.1383334387404223,1.0
6350000,0.04931502,0.06909537,0.0020225185,0.01513899,0.00011016597,0.13672197,0.0018424254,10015.5,1192.9126763912518,6.006250460864976,6.006250460864976,1.0
6400000,0.057889152,0.07961321,0.0033675611,0.019834988,0.00010862394,0.13620795,0.0018167769,11042.4,1193.2382129286257,5.892000408098101,5.892000408098101,1.0
6450000,0.057329196,0.0858805,0.0028456245,0.014901431,0.00010708101,0.13569364,0.0017911126,9842.4,1193.8359060760536,6.288000350445509,6.288000350445509,1.0
6500000,0.060265645,0.09612486,0.0023085196,0.019683283,0.000105848056,0.13528268,0.0017706049,11787.666666666666,1194.2024807537807,7.523333788228531,7.523333788228531,1.0
6550000,0.06756306,0.06334799,0.0025310654,0.014596239,0.00010429724,0.13476573,0.0017448094,3223.0,1194.7466532604215,2.27500018677009,2.27500018677009,1.0
6600000,0.051972553,0.05793959,0.0027357931,0.015727239,0.00010275676,0.13425222,0.001719186,8288.6,1196.4225840203317,5.130000317841768,5.130000317841768,1.0
